iter	MultiClass
127	0.2908807199
128	0.287792359
129	0.2834251831
130	0.2800295351
131	0.2765673131
132	0.2726363512
133	0.2691830358
134	0.2660130677
135	0.2634620756
136	0.260858433
137	0.2579527369
138	0.2543125447
139	0.2518502633
140	0.2493194246
141	0.2463212489
142	0.2435570331
143	0.2410442019
144	0.2384395349
145	0.2358918976
146	0.2336830791
147	0.2316843013
148	0.2297289143
149	0.227433736
150	0.225774814
151	0.2231287946
152	0.2211508939
153	0.2189449468
154	0.2168258502
155	0.2150649532
156	0.2127760338
157	0.2106943305
158	0.2087966421
159	0.2065431459
160	0.2045095019
161	0.2029754247
162	0.20005285
163	0.1984083907
164	0.1966085776
165	0.1945591355
166	0.1925356573
167	0.1907924337
168	0.1888768359
169	0.1873342793
170	0.185562934
171	0.1836191126
172	0.1821882579
173	0.1799644652
174	0.1784509017
175	0.1768217293
176	0.1750130602
177	0.1730932772
178	0.1717753972
179	0.1703513915
180	0.1689617278
181	0.1674688078
182	0.1661611836
183	0.165048397
184	0.1636580293
185	0.1625679659
186	0.1614991328
187	0.160311906
188	0.1590364753
189	0.1580174321
190	0.1569362465
191	0.1552607003
192	0.1540519055
193	0.1529489599
194	0.1516146526
195	0.1503566761
196	0.1492994688
197	0.1483489417
198	0.1470746449
199	0.1460832286
200	0.1450823655
201	0.1440736471
202	0.1431809476
203	0.1421495939
204	0.141005615
205	0.1399711468
206	0.1387484942
207	0.1377238169
208	0.1364670903
209	0.1355859191
210	0.1345778195
211	0.1336486084
212	0.132927721
213	0.1320375251
214	0.131235103
215	0.1303946415
216	0.1296061912
217	0.1285624154
218	0.127636336
219	0.1268223632
220	0.1259084552
221	0.1251407785
222	0.1242892779
223	0.1232886655
224	0.1223700334
225	0.1216574104
226	0.1209364316
227	0.1200504845
228	0.1192890831
229	0.1185113905
230	0.117543207
231	0.1167072299
232	0.1160704042
233	0.1151429191
234	0.114568598
235	0.1138613508
236	0.1131349187
237	0.1124036875
238	0.1117154023
239	0.1109249534
240	0.1101639761
241	0.1094386269
242	0.1087610082
243	0.1081975827
244	0.1075070077
245	0.1068867446
246	0.1062700398
247	0.1055316599
248	0.1050360748
249	0.1043670245
250	0.1037535111
251	0.1031861273
252	0.1026837621
253	0.1021599296
254	0.1016396325
255	0.1010016141
256	0.1004665882
257	0.09995267588
258	0.09939787566
259	0.09885225115
260	0.09814484893
261	0.09759766187
262	0.09714568979
263	0.09669735558
264	0.09618982925
265	0.09561674169
266	0.09508693493
267	0.09452739417
268	0.09398668522
269	0.09348250331
270	0.09308368805
271	0.09267165001
272	0.09218288238
273	0.09179839777
274	0.0913000044
275	0.09085358573
276	0.09040259399
277	0.0897619641
278	0.08925843445
279	0.08877283396
280	0.08843744535
281	0.08794324755
282	0.08748356725
283	0.08715281905
284	0.08677121048
285	0.0863131544
286	0.08588098762
287	0.08543209645
288	0.08485186649
289	0.08444162573
290	0.08408824319
291	0.08361978196
292	0.08325574322
293	0.08282053807
294	0.08249754904
295	0.08206299088
296	0.08166411091
297	0.08131967914
298	0.08088246731
299	0.08057149376
300	0.08018070165
301	0.07980312092
302	0.07947109103
303	0.07909241749
304	0.0787837347
305	0.07828738303
306	0.07791705942
307	0.07751976372
308	0.07716843203
309	0.07677417414
310	0.07631002323
311	0.07590020771
312	0.07563328634
313	0.07526664124
314	0.07497501297
315	0.07463205465
316	0.07428841751
317	0.07389957163
318	0.07358933647
319	0.07325709394
320	0.07291228491
321	0.07257807733
322	0.0721341223
323	0.0718188431
324	0.07152173803
325	0.07115412458
326	0.07085650361
327	0.07055107514
328	0.07022196622
329	0.06990233883
330	0.06967320099
331	0.06945237505
332	0.06915591501
333	0.06891479446
334	0.06854519637
335	0.06818641402
336	0.06793524146
337	0.06766556305
338	0.06736006077
339	0.06705431749
340	0.0667567501
341	0.0664390851
342	0.06616588521
343	0.06588489354
344	0.06563900824
345	0.06539152339
346	0.06516023643
347	0.06490122137
348	0.06466339212
349	0.06441080736
350	0.06413155923
351	0.06387070114
352	0.0636175869
353	0.06337505526
354	0.06309534634
355	0.06278911125
356	0.06254121277
357	0.06230711945
358	0.06205553064
359	0.06184309425
360	0.06161946212
361	0.06138879056
362	0.06115468794
363	0.06094201662
364	0.06073099557
365	0.0603462735
366	0.06014784244
367	0.05996210558
368	0.0597582785
369	0.0595610456
370	0.05928789459
371	0.05910341126
372	0.05881178186
373	0.05860795677
374	0.05842621895
375	0.05823637367
376	0.05802376021
377	0.05778594026
378	0.05756154372
379	0.05729568076
380	0.05709850406
381	0.05689956907
382	0.05669973295
383	0.05652286143
384	0.05630134223
385	0.05612470144
386	0.0559164701
387	0.05567250115
388	0.05548014527
389	0.05526360587
390	0.0550013037
391	0.05481166804
392	0.05460948195
393	0.0544414914
394	0.05429313337
395	0.05407927175
396	0.0539092616
397	0.05372153924
398	0.05350183572
399	0.05335551672
400	0.05316310625
401	0.0529922885
402	0.05276268462
403	0.0526073055
404	0.05239549432
405	0.05220634005
406	0.05205499714
407	0.05190511605
408	0.05173868902
409	0.05158470042
410	0.05143781024
411	0.05126645316
412	0.05111673206
413	0.05094275342
414	0.05080042018
415	0.05061513265
416	0.05043629508
417	0.05028989915
418	0.05015474278
419	0.04998875407
420	0.04984795932
421	0.04967391347
422	0.04954863635
423	0.04938405371
424	0.04917600639
425	0.04901364572
426	0.04885798878
427	0.04870920043
428	0.0485345564
429	0.04835270801
430	0.04811917289
431	0.04794412172
432	0.04779443463
433	0.0476677063
434	0.04753270527
435	0.04737946102
436	0.0472298324
437	0.04706230416
438	0.0469094524
439	0.04676953327
440	0.04663108653
441	0.04652564711
442	0.04640523974
443	0.04627620524
444	0.04614160286
445	0.04602673314
446	0.04590510464
447	0.04578771243
448	0.04566649131
449	0.04552705931
450	0.04538857106
451	0.04523574569
452	0.04512137871
453	0.04496802652
454	0.04482698717
455	0.04465268861
456	0.04455099182
457	0.04442813438
458	0.04426037927
459	0.04412633743
460	0.04397970685
461	0.04384016299
462	0.04371625888
463	0.0435782101
464	0.04342702556
465	0.04328735301
466	0.04318743193
467	0.04307444413
468	0.04287818356
469	0.04275050249
470	0.04261714356
471	0.04248275998
472	0.0423756732
473	0.04224616207
474	0.04209619008
475	0.04197799613
476	0.04186892896
477	0.04174394629
478	0.04160934921
479	0.04149956879
480	0.04139192895
481	0.04126451628
482	0.04117600695
483	0.0410443915
484	0.04092914787
485	0.04083492867
486	0.04074391519
487	0.04063153038
488	0.04052397787
489	0.04042580483
490	0.04032663524
491	0.04019857943
492	0.04006942629
493	0.03996026299
494	0.03985697812
495	0.03973070099
496	0.03960643939
497	0.03951611823
498	0.03944721307
499	0.03933644515
500	0.03925188013
501	0.03915511379
502	0.0390662113
503	0.03896865148
504	0.03882474866
505	0.03872843912
506	0.03861482609
507	0.03851338263
508	0.0383971672
509	0.03829875188
510	0.03821402302
511	0.03811496148
512	0.03803145958
513	0.03792959104
514	0.03782785437
515	0.03774775261
516	0.03763061309
517	0.03753356503
518	0.03745456282
519	0.03737456791
520	0.03728121974
521	0.03717807572
522	0.03707321328
523	0.03696521002
524	0.03688959348
525	0.03681668099
526	0.03671642764
527	0.03662967303
528	0.03654474595
529	0.03646619054
530	0.03638221457
531	0.03631442028
532	0.03622859704
533	0.03613114287
534	0.03605593667
535	0.03597535806
536	0.03588801268
537	0.03578631139
538	0.03571651897
539	0.03562157692
540	0.0355366208
541	0.03545790929
542	0.03537847982
543	0.03529968544
544	0.03521253256
545	0.03513355643
546	0.03505656152
547	0.03497265647
548	0.03489161086
549	0.03481687335
550	0.03472644564
551	0.03466480615
552	0.03457235564
553	0.03450628409
554	0.03443857755
555	0.03436308933
556	0.03427734171
557	0.03415327374
558	0.0340940207
559	0.03402330232
560	0.03395768533
561	0.03388741734
562	0.0337734115
563	0.03368733995
564	0.03362601883
565	0.03355991095
566	0.03348842418
567	0.03342628142
568	0.03330468769
569	0.03322658688
570	0.03316652234
571	0.03309210818
572	0.03302628542
573	0.03297119729
574	0.03289776187
575	0.03282197479
576	0.0327389059
577	0.03267965693
578	0.03261366067
579	0.03253757099
580	0.03248437046
581	0.03241878452
582	0.0323311769
583	0.03226609024
584	0.03220317573
585	0.0321323453
586	0.03205118005
587	0.03199632975
588	0.03192898084
589	0.03185493575
590	0.03178200483
591	0.03172482154
592	0.03165448215
593	0.03158317816
594	0.03149874276
595	0.0314252627
596	0.03135563676
597	0.03130583872
598	0.03122918795
599	0.03116115709
600	0.03110928486
601	0.03102210346
602	0.03096046709
603	0.03089499825
604	0.0308318107
605	0.03076685084
606	0.03071375688
607	0.03065883336
608	0.03060458405
609	0.03053948322
610	0.03049331057
611	0.03043514951
612	0.03037906355
613	0.03031897902
614	0.03025778252
615	0.03020196177
616	0.03013646708
617	0.03007112398
618	0.03001880863
619	0.02995320245
620	0.02988709766
621	0.02982472026
622	0.02976325537
623	0.02970085674
624	0.02964123317
625	0.02957400323
626	0.02951041619
627	0.02944877005
628	0.0293933036
629	0.02934020709
630	0.02927367891
631	0.02922607131
632	0.02917078365
633	0.02911983777
634	0.02906785187
635	0.02900810671
636	0.02896444712
637	0.02891513252
638	0.02885143859
639	0.02879833982
640	0.02875186119
641	0.02869004391
642	0.02862033629
643	0.02854623557
644	0.02846921946
645	0.02842585555
646	0.0283863963
647	0.02832568203
648	0.028255816
649	0.02821118209
650	0.02815951463
651	0.02808235518
652	0.02802068709
653	0.02796672577
654	0.0278848815
655	0.02784006481
656	0.02778891462
657	0.02774459089
658	0.0276957137
659	0.02764574276
660	0.02759589242
661	0.02753458887
662	0.02747526087
663	0.02743196335
664	0.02738863193
665	0.02733179437
666	0.02727285155
667	0.02722694903
668	0.02718071995
669	0.02712755572
670	0.02707295528
671	0.02701553156
672	0.02696075328
673	0.02690603528
674	0.02684758254
675	0.0267889209
676	0.02673895969
677	0.02668303244
678	0.02662835216
679	0.02655995991
680	0.02651178036
681	0.02647884042
682	0.02642960024
683	0.02638894814
684	0.02633315985
685	0.02627764079
686	0.02623766302
687	0.02620238003
688	0.02616000442
689	0.02609905005
690	0.0260509493
691	0.02601114263
692	0.02596728676
693	0.0259157782
694	0.02587436968
695	0.02583605819
696	0.02579279876
697	0.02574937846
698	0.02570481135
699	0.02564908568
700	0.02559566261
701	0.0255390794
702	0.02549595567
703	0.02544759533
704	0.02540308945
705	0.02536626146
706	0.02532120783
707	0.02528697683
708	0.02522996857
709	0.02518291327
710	0.02514065795
711	0.02509761348
712	0.02505683764
713	0.02501667345
714	0.02495644002
715	0.02491416338
716	0.02486954446
717	0.02483453063
718	0.0247860009
719	0.02474968762
720	0.02470685731
721	0.0246710433
722	0.02463383546
723	0.02459497265
724	0.02455134071
725	0.02451159659
726	0.02447712928
727	0.02442459359
728	0.02438476158
729	0.02435029263
730	0.02431182937
731	0.02427302661
732	0.02423080102
733	0.02418577062
734	0.02415304145
735	0.02410301768
736	0.02406335584
737	0.02402414902
738	0.02399418339
739	0.02395341027
740	0.02391327082
741	0.0238712988
742	0.02383245485
743	0.02379450803
744	0.02375086422
745	0.02371127168
746	0.02367938738
747	0.02364128366
748	0.02361206286
749	0.02357798429
750	0.02354080904
751	0.02350512359
752	0.02346674005
753	0.02341809374
754	0.02339033663
755	0.02334643212
756	0.02331570732
757	0.02327995359
758	0.02325130626
759	0.02321148696
760	0.02315269974
761	0.02311400008
762	0.02307764223
763	0.0230475816
764	0.02302001566
765	0.02297850804
766	0.02294216982
767	0.02290550765
768	0.02287488575
769	0.02283327959
770	0.02279101937
771	0.02276272893
772	0.02271603394
773	0.0226792882
774	0.02264695059
775	0.02260101533
776	0.02254835587
777	0.02251978923
778	0.02248830951
779	0.02244877403
780	0.02240188823
781	0.02236512812
782	0.02232326336
783	0.02227143395
784	0.02223944514
785	0.02220683002
786	0.02217999634
787	0.02214062092
788	0.02211159127
789	0.02208393218
790	0.02205812521
791	0.02203015377
792	0.02199675266
793	0.02196295721
794	0.02193380423
795	0.02190502681
796	0.02187544046
797	0.02184071395
798	0.02181042453
799	0.02178581814
800	0.02175499672
801	0.02172317429
802	0.02169762949
803	0.02166153175
804	0.02163235803
805	0.02160612445
806	0.02157042391
807	0.02154426329
808	0.02148867225
809	0.02145162963
810	0.02141743054
811	0.02138890628
812	0.02134352263
813	0.02130372963
814	0.02127521152
815	0.0212386973
816	0.02120101115
817	0.02116859738
818	0.02114089919
819	0.02111522086
820	0.02108676493
821	0.02106044568
822	0.02103304454
823	0.02100204213
824	0.02097635502
825	0.02095015634
826	0.02089541571
827	0.02087296075
828	0.02084966795
829	0.0208185472
830	0.02079493784
831	0.02077046771
832	0.02073135564
833	0.02069751081
834	0.02065710875
835	0.02062438703
836	0.02059979162
837	0.02057295677
838	0.02054672499
839	0.02051910173
840	0.02049584801
841	0.02046969327
842	0.02043695003
843	0.0204074899
844	0.02037571687
845	0.02033780477
846	0.02030366673
847	0.02026076896
848	0.02023068164
849	0.02019090191
850	0.02015682904
851	0.02013544899
852	0.02010679779
853	0.02007516398
854	0.02003968345
855	0.02001875011
856	0.01999200488
857	0.01997033315
858	0.01994682032
859	0.0199186292
860	0.01988295958
861	0.01986037121
862	0.01983190584
863	0.0198077763
864	0.01977518553
865	0.01974975036
866	0.01972551821
867	0.01969956845
868	0.01966815419
869	0.01963684521
870	0.01960947114
871	0.01958568665
872	0.01955330927
873	0.01953034804
874	0.01950242039
875	0.01948089642
876	0.01945083218
877	0.01942954507
878	0.01939158349
879	0.01936980971
880	0.01935041039
881	0.01932885524
882	0.01930425329
883	0.0192775516
884	0.01923815244
885	0.01920707743
886	0.01918520374
887	0.01915646939
888	0.01912525663
889	0.01909265696
890	0.01906121962
891	0.01904342614
892	0.01901872974
893	0.0189961221
894	0.01897276748
895	0.01893795837
896	0.01891475601
897	0.01889130363
898	0.01886529117
899	0.01883421177
900	0.01879828654
901	0.01877067722
902	0.0187505319
903	0.01872205655
904	0.0187020139
905	0.01867907215
906	0.01864753497
907	0.01862655972
908	0.01860456606
909	0.018579989
910	0.01855562369
911	0.01853559172
912	0.01851601533
913	0.01848756282
914	0.01846702644
915	0.0184425058
916	0.01842044635
917	0.01839962577
918	0.01837394213
919	0.01834263318
920	0.01831632395
921	0.01829400857
922	0.01826992455
923	0.0182424405
924	0.0182229599
925	0.01819705409
926	0.01818044926
927	0.01815706905
928	0.01813875694
929	0.01811312303
930	0.01807728174
931	0.01805566966
932	0.01803239878
933	0.01801340192
934	0.0179886548
935	0.01796858108
936	0.01793920745
937	0.01792048802
938	0.01790027809
939	0.0178840889
940	0.01786293497
941	0.0178454116
942	0.01782639441
943	0.01780878154
944	0.01779016311
945	0.0177650805
946	0.0177442682
947	0.01772274972
948	0.01770348046
949	0.01768268253
950	0.01765997918
951	0.01764350968
952	0.01762244908
953	0.01760133782
954	0.01757898955
955	0.0175569803
956	0.01753950813
957	0.01752311556
958	0.01749402794
959	0.01747212145
960	0.01745388002
961	0.01742308801
962	0.01739697142
963	0.01737648628
964	0.01735450398
965	0.0173336714
966	0.0173108462
967	0.01728836095
968	0.01726905135
969	0.01724472127
970	0.01722937395
971	0.01720558289
972	0.01718409566
973	0.01716719432
974	0.0171496865
975	0.01712909773
976	0.01710625079
977	0.01708550632
978	0.01706678866
979	0.0170417869
980	0.01702327116
981	0.01700440982
982	0.01697978282
983	0.01695727106
984	0.01694045658
985	0.0169180835
986	0.01690167871
987	0.01688370628
988	0.01686459173
989	0.0168428207
990	0.01682216646
991	0.01680131563
992	0.01677661682
993	0.01675695419
994	0.01673687082
995	0.01671488705
996	0.01668908072
997	0.01667173995
998	0.01665419839
999	0.0166381873
