iter	Passed	Remaining
401	14087	20955
402	14118	20915
403	14150	20876
404	14183	20836
405	14215	20798
406	14247	20759
407	14280	20720
408	14316	20687
409	14354	20656
410	14397	20633
411	14446	20618
412	14492	20598
413	14535	20573
414	14580	20553
415	14620	20524
416	14654	20488
417	14688	20451
418	14724	20417
419	14756	20378
420	14788	20338
421	14819	20298
422	14852	20259
423	14884	20220
424	14916	20180
425	14949	20142
426	14981	20103
427	15014	20066
428	15047	20028
429	15080	19990
430	15114	19953
431	15149	19918
432	15183	19881
433	15217	19846
434	15251	19809
435	15286	19774
436	15328	19748
437	15372	19724
438	15415	19699
439	15453	19668
440	15490	19635
441	15527	19602
442	15560	19564
443	15592	19525
444	15623	19486
445	15655	19446
446	15687	19407
447	15720	19369
448	15753	19331
449	15786	19294
450	15817	19254
451	15849	19216
452	15882	19177
453	15913	19137
454	15945	19099
455	15977	19060
456	16009	19022
457	16042	18984
458	16073	18944
459	16104	18905
460	16136	18866
461	16168	18828
462	16200	18789
463	16231	18750
464	16263	18711
465	16295	18673
466	16327	18634
467	16359	18596
468	16391	18558
469	16425	18522
470	16461	18488
471	16498	18456
472	16533	18421
473	16566	18383
474	16597	18345
475	16630	18307
476	16661	18268
477	16693	18230
478	16725	18191
479	16756	18152
480	16787	18114
481	16819	18075
482	16851	18037
483	16883	18000
484	16915	17961
485	16947	17924
486	16981	17887
487	17018	17855
488	17054	17821
489	17103	17801
490	17139	17767
491	17177	17735
492	17213	17702
493	17246	17665
494	17279	17628
495	17311	17590
496	17343	17552
497	17374	17514
498	17408	17478
499	17445	17445
500	17482	17412
501	17517	17377
502	17549	17339
503	17585	17305
504	17619	17270
505	17652	17234
506	17686	17198
507	17720	17162
508	17755	17127
509	17788	17091
510	17823	17055
511	17859	17022
512	17891	16984
513	17924	16948
514	17957	16911
515	17989	16873
516	18024	16839
517	18060	16805
518	18095	16770
519	18129	16734
520	18161	16697
521	18194	16660
522	18225	16622
523	18256	16584
524	18289	16547
525	18321	16510
526	18353	16472
527	18385	16435
528	18416	16397
529	18448	16360
530	18481	16323
531	18512	16285
532	18545	16249
533	18583	16217
534	18615	16179
535	18646	16141
536	18678	16104
537	18710	16067
538	18742	16030
539	18774	15993
540	18806	15955
541	18837	15918
542	18871	15882
543	18903	15845
544	18934	15808
545	18966	15770
546	18998	15733
547	19030	15696
548	19061	15659
549	19093	15622
550	19129	15588
551	19164	15553
552	19202	15521
553	19241	15490
554	19280	15458
555	19317	15426
556	19354	15392
557	19386	15356
558	19421	15321
559	19454	15285
560	19487	15249
561	19518	15212
562	19550	15175
563	19582	15138
564	19613	15100
565	19644	15063
566	19676	15026
567	19709	14990
568	19740	14952
569	19772	14916
570	19804	14879
571	19837	14843
572	19868	14806
573	19900	14769
574	19933	14733
575	19964	14696
576	19996	14659
577	20027	14622
578	20059	14585
579	20091	14548
580	20124	14512
581	20155	14475
582	20188	14440
583	20222	14405
584	20257	14370
585	20291	14335
586	20329	14303
587	20368	14271
588	20404	14238
589	20451	14212
590	20487	14178
591	20518	14141
592	20551	14105
593	20583	14068
594	20614	14032
595	20646	13995
596	20679	13959
597	20711	13923
598	20742	13886
599	20774	13849
600	20805	13812
601	20836	13775
602	20868	13739
603	20900	13702
604	20931	13665
605	20963	13629
606	20994	13592
607	21026	13556
608	21058	13520
609	21089	13483
610	21121	13447
611	21153	13410
612	21185	13374
613	21217	13338
614	21249	13302
615	21280	13265
616	21312	13229
617	21344	13193
618	21377	13158
619	21408	13121
620	21441	13085
621	21473	13049
622	21504	13013
623	21536	12977
624	21568	12941
625	21600	12905
626	21632	12869
627	21664	12833
628	21696	12797
629	21728	12761
630	21760	12725
631	21792	12689
632	21824	12653
633	21855	12617
634	21887	12581
635	21924	12547
636	21961	12514
637	21996	12480
638	22035	12448
639	22067	12412
640	22098	12376
641	22129	12340
642	22161	12304
643	22192	12268
644	22225	12232
645	22262	12199
646	22295	12164
647	22328	12128
648	22360	12093
649	22391	12057
650	22423	12021
651	22455	11985
652	22487	11949
653	22518	11913
654	22550	11877
655	22582	11842
656	22613	11805
657	22645	11769
658	22676	11734
659	22709	11698
660	22747	11666
661	22782	11632
662	22817	11598
663	22850	11562
664	22881	11527
665	22914	11491
666	22946	11456
667	22978	11420
668	23010	11384
669	23042	11349
670	23074	11313
671	23105	11277
672	23136	11241
673	23168	11206
674	23200	11170
675	23232	11135
676	23264	11099
677	23296	11064
678	23333	11030
679	23369	10997
680	23413	10967
681	23448	10933
682	23485	10900
683	23517	10864
684	23550	10829
685	23582	10794
686	23614	10758
687	23651	10725
688	23683	10690
689	23715	10654
690	23746	10619
691	23778	10583
692	23810	10548
693	23842	10512
694	23875	10477
695	23907	10442
696	23939	10406
697	23970	10371
698	24003	10336
699	24034	10300
700	24066	10265
701	24097	10229
702	24129	10194
703	24162	10159
704	24199	10126
705	24234	10092
706	24270	10058
707	24302	10023
708	24335	9988
709	24366	9952
710	24397	9917
711	24429	9881
712	24460	9845
713	24491	9810
714	24522	9774
715	24554	9739
716	24586	9704
717	24617	9668
718	24648	9633
719	24679	9597
720	24710	9562
721	24742	9526
722	24773	9491
723	24805	9456
724	24837	9420
725	24869	9386
726	24903	9351
727	24934	9316
728	24966	9281
729	24998	9245
730	25030	9210
731	25061	9175
732	25092	9140
733	25124	9105
734	25156	9070
735	25187	9034
736	25219	8999
737	25252	8965
738	25286	8930
739	25320	8896
740	25352	8861
741	25383	8825
742	25414	8790
743	25445	8755
744	25477	8720
745	25508	8685
746	25541	8650
747	25573	8615
748	25605	8580
749	25637	8545
750	25669	8510
751	25701	8475
752	25732	8440
753	25763	8405
754	25798	8371
755	25834	8338
756	25868	8303
757	25902	8269
758	25935	8235
759	25969	8200
760	26002	8166
761	26036	8132
762	26069	8097
763	26102	8063
764	26134	8028
765	26165	7993
766	26197	7958
767	26231	7924
768	26269	7890
769	26304	7857
770	26338	7822
771	26370	7788
772	26403	7753
773	26434	7718
774	26466	7683
775	26498	7648
776	26533	7615
777	26616	7594
778	26662	7563
779	26694	7529
780	26734	7496
781	26777	7464
782	26814	7431
783	26849	7397
784	26887	7364
785	26925	7330
786	26965	7298
787	27004	7265
788	27045	7232
789	27081	7199
790	27115	7164
791	27150	7130
792	27184	7096
793	27219	7061
794	27251	7027
795	27283	6992
796	27316	6957
797	27352	6923
798	27386	6889
799	27421	6855
800	27457	6821
801	27489	6786
802	27520	6751
803	27551	6716
804	27583	6681
805	27615	6646
806	27647	6612
807	27679	6577
808	27712	6542
809	27748	6508
810	27782	6474
811	27816	6440
812	27853	6406
813	27893	6373
814	27931	6340
815	27965	6305
816	27998	6271
817	28030	6236
818	28062	6201
819	28095	6167
820	28128	6132
821	28162	6098
822	28195	6063
823	28230	6029
824	28268	5996
825	28305	5962
826	28341	5928
827	28376	5894
828	28413	5860
829	28447	5826
830	28482	5792
831	28514	5757
832	28550	5723
833	28588	5690
834	28625	5656
835	28677	5625
836	28711	5591
837	28745	5557
838	28779	5522
839	28812	5488
840	28845	5453
841	28876	5418
842	28909	5384
843	28940	5349
844	28972	5314
845	29003	5279
846	29037	5245
847	29068	5210
848	29099	5175
849	29131	5140
850	29163	5106
851	29195	5071
852	29226	5036
853	29258	5001
854	29289	4967
855	29321	4932
856	29352	4897
857	29384	4863
858	29417	4828
859	29451	4794
860	29487	4760
861	29523	4726
862	29556	4692
863	29591	4657
864	29625	4623
865	29657	4589
866	29690	4554
867	29721	4519
868	29752	4485
869	29784	4450
870	29816	4415
871	29848	4381
872	29880	4346
873	29915	4312
874	29949	4278
875	29982	4244
876	30016	4209
877	30048	4175
878	30080	4140
879	30112	4106
880	30146	4071
881	30178	4037
882	30210	4002
883	30242	3968
884	30273	3933
885	30305	3899
886	30337	3864
887	30369	3830
888	30400	3795
889	30431	3761
890	30462	3726
891	30494	3692
892	30525	3657
893	30557	3623
894	30588	3588
895	30619	3554
896	30651	3519
897	30683	3485
898	30716	3450
899	30748	3416
900	30780	3382
901	30811	3347
902	30843	3313
903	30875	3278
904	30907	3244
905	30939	3210
906	30972	3175
907	31005	3141
908	31038	3107
909	31070	3072
910	31101	3038
911	31133	3004
912	31164	2969
913	31198	2935
914	31232	2901
915	31264	2867
916	31296	2832
917	31328	2798
918	31360	2764
919	31392	2729
920	31423	2695
921	31455	2661
922	31487	2626
923	31518	2592
924	31550	2558
925	31581	2523
926	31612	2489
927	31646	2455
928	31680	2421
929	31712	2386
930	31743	2352
931	31775	2318
932	31806	2284
933	31837	2249
934	31870	2215
935	31902	2181
936	31934	2147
937	31966	2112
938	31997	2078
939	32028	2044
940	32060	2010
941	32091	1975
942	32123	1941
943	32158	1907
944	32190	1873
945	32222	1839
946	32253	1805
947	32284	1770
948	32317	1736
949	32348	1702
950	32379	1668
951	32411	1634
952	32443	1600
953	32474	1565
954	32507	1531
955	32540	1497
956	32574	1463
957	32608	1429
958	32641	1395
959	32672	1361
960	32704	1327
961	32735	1293
962	32767	1258
963	32798	1224
964	32829	1190
965	32862	1156
966	32894	1122
967	32925	1088
968	32956	1054
969	32987	1020
970	33018	986
971	33050	952
972	33082	918
973	33113	883
974	33153	850
975	33185	816
976	33217	781
977	33248	747
978	33280	713
979	33312	679
980	33347	645
981	33381	611
982	33415	577
983	33448	543
984	33479	509
985	33511	475
986	33543	441
987	33575	407
988	33606	373
989	33638	339
990	33670	305
991	33702	271
992	33734	237
993	33768	203
994	33801	169
995	33834	135
996	33867	101
997	33899	67
998	33931	33
999	33965	0
